Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Rehash, Collide
G1,14,-300,686.992,23266550,33867.3,9970164,0,0,0,0
G1,14,-300,686.583,23266550,33887.5,9970164,0,0,0,0

A1,14,-80,12204.8,410032969,33595.9,172086541,0,0,0,0
A1,14,-80,12109.2,410032969,33861.3,172086541,0,0,0,0
A1,14,-80,12283.2,410032969,33381.6,172086541,0,0,0,0
B1,14,80,3404.97,109674086,32210,47851004,0,0,0,0
B1,14,80,3267.62,109674086,33563.9,47851004,0,0,0,0
B1,14,80,3267.21,109674086,33568.2,47851004,0,0,0,0

C2,14,280,9253.16,320242105,34609,122770096,0,0,0,0
C2,14,280,9224.88,320242105,34715.1,122770096,0,0,0,0
C2,14,280,9232.61,320242105,34686,122770096,0,0,0,0
C1,14,-280,1650.66,57683233,34945.6,21598015,0,0,0,0
C1,14,-280,1641.05,57683233,35150.3,21598015,0,0,0,0
C1,14,-280,1641.7,57683233,35136.3,21598015,0,0,0,0

