Pos, Depth, Score, Duration, Node, NPS, Leaf, Used, Hit, Rehash, Collide
D1,16,100,7273.12,221414972,30442.9,66150972,0,0,0,0
B1,16,-100,195.113,5992643,30713.7,1764570,0,0,0,0
B1,16,-100,194.964,5992643,30737.2,1764570,0,0,0,0
B1,16,-100,195.161,5992643,30706.2,1764570,0,0,0,0

A8,16,300,52.782,1661459,31477.8,575334,0,0,0,0
A8,16,300,52.771,1661459,31484.3,575334,0,0,0,0
A8,16,300,52.793,1661459,31471.2,575334,0,0,0,0
G1,16,-300,5.155,144209,27974.6,48659,0,0,0,0
G1,16,-300,4.719,144209,30559.2,48659,0,0,0,0
G1,16,-300,4.768,144209,30245.2,48659,0,0,0,0

A1,16,-80,9.627,246632,25618.8,83519,0,0,0,0
A1,16,-80,9.854,246632,25028.6,83519,0,0,0,0
A1,16,-80,9.577,246632,25752.5,83519,0,0,0,0
B1,16,80,1.981,55263,27896.5,17810,0,0,0,0
B1,16,80,2.895,55263,19089.1,17810,0,0,0,0
B1,16,80,2.252,55263,24539.5,17810,0,0,0,0

C2,16,280,29.37,933817,31794.9,271441,0,0,0,0
C2,16,280,29.836,933817,31298.3,271441,0,0,0,0
C2,16,280,29.243,933817,31933,271441,0,0,0,0
C1,16,-280,16.239,474228,29203,139816,0,0,0,0
C1,16,-280,15.538,474228,30520.5,139816,0,0,0,0
C1,16,-280,15.357,474228,30880.3,139816,0,0,0,0

